Brand,Size,Price,Saleprice,Icon,Sku,Product Url,Description,Time,Available
Lululemon,ONE SIZE,78.00,,,114803570,/p/yoga-accessories/The-Reversible-Mat-3/_/prod6750168,"From hot to hatha, this natural rubber mat has a grippy top layer that helps you find balance.",19:37:00,Not instock
Lululemon,ONE SIZE,98.00,,,132157630,/p/bags/Everyday-Backpack/_/prod10520025,"Made for full days ahead. This
backpack holds the goods—and
has plenty of pockets and
compartments to keep you
organized along the way.",19:37:00,Available
Lululemon,ONE SIZE,58.00,,,125050045,/p/bags/The-Rest-is-Written-Crossbody/_/prod10190237,"Minimalist and highly practical.
This bag can be worn over your shoulder or
across your body and conceals
easily under layered clothing.
Clip the strap vertically or
horizontally.",19:37:00,Available
Lululemon,ONE SIZE,18.00,,,3788508,/p/bags/You-Hold-The-Key-Chain/_/prod8900757,Keep your keys where you can find them thanks to this reflective key chain.,19:37:00,Not instock
Lululemon,ONE SIZE,58.00,,,127450132,/p/bags/The-Rest-is-Written-Belt-Bag/_/prod10370199,"Designed with plenty of
pockets, this belt bag will
keep you organized and hands-free on the
daily.",19:37:00,Available
Lululemon,ONE SIZE,28.00,,,125050074,/p/bags/Play-Forward-Crossbody-Pouch/_/prod10190208,Cinch and go. This phone pocket holds just the essentials. Say so long to days of over packing.,19:37:00,Available
Lululemon,ONE SIZE,14.00,,,113002350,/p/hair-accessories/Cardio-Cross-Trainer-Headband/_/prod6020412,"Toss on this breathable, anti-stink headband to keep hair (and sweat) out of your face.",19:37:00,Available
Lululemon,ONE SIZE,34.00,,,122750516,/p/bags/City-Adventurer-Backpack-Nano/_/prod9960648,It's the little things. Clip this nano version of your favourite backpack to your pack or slide it through a belt-bag strap for a nano dose of extra storage.,19:37:00,Available
Lululemon,ONE SIZE,18.00,,,114800154,/p/hair-accessories/Fringe-Fighter-Headband/_/prod6020416,"Slip on this lightweight, reversible headband to keep bangs and beads of sweat out of your eyes. Wear it two ways: with the skinny or the wide section at the top.",19:37:00,Available
Lululemon,ONE SIZE,38.00,,,122976249,/p/bags/Easy-Access-Crossbody/_/prod9960678,"Avoid those where-did-I-put-my-phone moments. This cross-body bag is easy to carry, doubles as a belt bag, and fits your phone and passport.",19:37:00,Not instock
Lululemon,ONE SIZE,12.00,,,3816655,/p/hair-accessories/Uplifting-Scrunchie-Bow/_/prod8980002,Put a bow on it. We made this scrunchie to keep your hair out of your eyes during tough workouts.,19:37:00,Not instock
Lululemon,ONE SIZE,8.00,,,3776519,/p/hair-accessories/Uplifting-Scrunchie/_/prod8640243,Keep the sweat out of your eyes and your head in the game in this lightweight scrunchie.,19:37:00,Not instock
Lululemon,ONE SIZE,12.00,,,122975070,/p/hair-accessories/Fly-Away-Tamer-Headband-II-Lux/_/prod8601718,"Keep your hair in place while
you work out with this
sweat-wicking headband that hugs
your head in all the right
places.",19:37:00,Not instock
Lululemon,ONE SIZE,34.00,,,132225071,/p/accessories/lululemon-Ear-Loop-Face-Mask-3Pack/_/prod10520272,"This non-medical face mask is for easy and comfortable everyday wear. Soft ear loops are a cinch to put on and take off, while cord locks let you customize your fit.",19:37:00,Available
Lululemon,ONE SIZE,44.00,24.00,,113800048,/p/selfcare/Vata-Aromatherapy-Oil-MD/_/prod10280073,,19:37:00,Available
Lululemon,ONE SIZE,44.00,24.00,,113800052,/p/selfcare/Pitta-Aromatherapy-Oil-MD/_/prod10280118,,19:37:00,Available
Lululemon,Full,24.00,14.00,,101200009,/p/selfcare/Cooling-Body-Cream-MD/_/prod10280103,"Stick to your workouts, not your clothes. This post-workout lotion cools and absorbs on impact so you can go quickly from sweaty to ready.
",19:37:00,Available
Lululemon,ONE SIZE,16.00,9.00,,120575075,/p/hair-accessories/Uplifting-Scrunchie-Flow-MD/_/prod10210076,A large bow sets this lightweight scrunchie apart when you need to keep your long locks in check.,19:37:00,Not instock
Lululemon,ONE SIZE,44.00,24.00,,113800050,/p/selfcare/Kapha-Aromatherapy-Oil-MD/_/prod10280110,,19:37:00,Available
